No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
982,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 2)*",15,Clúid Housing,,,,,,Q3-2021
983,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 3)",15,Clúid Housing,,,,,,Q4-2021
984,CALF Turnkey,Louth,"Clonmore Close, Ardee, Co. Louth (Phase 4)",13,Clúid Housing,,,,,,Q4-2021
985,CALF Turnkey,Louth,"Connolly Field, Dundalk, Co. Louth (Phase 1)*",30,Fold Housing Association Ireland Ltd,,,,Q2-2022,,
986,CALF Turnkey,Louth,"Connolly Field, Dundalk, Co. Louth (Phase 2)",40,Fold Housing Association Ireland Ltd,,,,Q2-2022,,
987,CALF Turnkey,Louth,"Donore Road, Drogheda, Co. Louth (Phase 1)",66,Clúid Housing,,,,,Q2-2021,
988,CALF Turnkey,Louth,"Dublin Road, Dundalk, Co. Louth (Phase 1)*",65,Respond,,,,,Q4-2020,
989,CALF Turnkey,Louth,"Duiche Roden (formerly The Kitchen Garden)Desmesne Road, Dundalk, Co. Louth (Phase 1)*",47,Clúid Housing,,,,,Q4-2020,
990,CALF Turnkey,Louth,"Duiche Roden (formerly The Kitchen Garden)Desmesne Road, Dundalk, Co. Louth (Phase 2)",24,Clúid Housing,,,,,Q4-2020,
991,CALF Turnkey,Louth,"Duiche Roden (formerly The Kitchen Garden)Desmesne Road, Dundalk, Co. Louth (Phase 3)",59,Clúid Housing,,,,,Q4-2020,
992,CALF Turnkey,Louth,"Fairways Gardens, Dundalk Co Louth (Phase 1)",8,Clúid Housing,,,,,,Q4-2021
993,CALF Turnkey,Louth,"Halliday Mills, Quay Street, Dundalk, Co. Louth (Phase 1)*",85,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021
994,CALF Turnkey,Louth,"Harbour View, Coulter Place, Dundalk (Phase 1)",24,Clúid Housing,,,,,,Q3-2021
995,CALF Turnkey,Louth,"Lismullen Grove, Dundalk, Co. Louth (Phase 2)",8,Tuath Housing Association,,,,,,Q1-2021
996,CALF Turnkey,Louth,"Newfoundwell Road, Drogheda, Co Louth (Phase 1)*",55,Clúid Housing,,,,,,Q1-2022
997,CALF Turnkey,Louth,"Newfoundwell Road, Drogheda, Co Louth (Phase 2)",39,Clúid Housing,,,,,Q3-2020,
998,CALF Turnkey,Louth,"Newtown, Marsh Road, Drogheda, Co. Louth (Phase 1)*",17,Respond,,,,,Q4-2020,
999,CALF Turnkey,Louth,"Newtown, Marsh Road, Drogheda, Co. Louth (Phase 2)*",23,Respond,,,,,Q4-2020,
1000,CALF Turnkey,Louth,"Newtown, Marsh Road, Drogheda, Co. Louth (Phase 3)*",46,Respond,,,,,Q4-2020,
1001,CALF Turnkey,Louth,"Newtown, Marsh Road, Drogheda, Co. Louth (Phase 4)*",47,Respond,,,,,Q4-2020,
1002,CALF Turnkey,Louth,"Oriel Heights, Collon, Co. Louth (Phase 1)*",13,North and East Housing Association CLG,,,,Q3-2021,,
1003,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Clanmil (Phase 1)",6,Clanmil Housing Association Ireland,,,,,Q1-2019,
1004,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Clanmil (Phase 2)",9,Clanmil Housing Association Ireland,,,,,Q1-2019,
1005,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Clanmil (Phase 3)",8,Clanmil Housing Association Ireland,,,,,Q1-2019,
1006,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Clanmil (Phase 4)*",10,Clanmil Housing Association Ireland,,,,,Q1-2019,
1007,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Clanmil (Phase 5)*",6,Clanmil Housing Association Ireland,,,,,Q1-2019,
1008,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Clanmil (Phase 6)*",6,Clanmil Housing Association Ireland,,,,,Q1-2019,
1009,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Tuath (Phase 2)",10,Tuath Housing Association,,,,,,Q2-2022
1010,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Tuath (Phase 3)*",13,Tuath Housing Association,,,,,Q1-2019,
1011,CALF Turnkey,Louth,"Racecourse Meadows, Dundalk, Co. Louth - Tuath (Phase 4)",12,Tuath Housing Association,,,,,Q1-2019,
1012,CALF Turnkey,Louth,"Scotch Hall, Drogheda, Co Louth  (Phase 1)",21,Respond,,,,Q3-2021,,
1013,CALF Turnkey,Louth,"Tierney Street, Ardee, Co. Louth (Phase 1)",11,Circle Voluntary Housing Association Ltd,,,,,Q3-2021,
1014,CALF Turnkey,Louth,"Tullybrook, Drogheda, Co. Louth  (Phase 1)*",85,Clúid Housing,,,,,Q1-2021,
1015,SHIP CONSTRUCTION TURNKEY,Mayo,"Bunree, Ballina",3,*N/A,,,,,Q4-2019,
1016,SHIP CONSTRUCTION TURNKEY,Mayo,"Silver Springs, Claremorris",20,*N/A,,,,,Q3-2020,
1017,SHIP CONSTRUCTION TURNKEY,Mayo,"Main St., Charlestown",2,*N/A,,,,,,Q4-2021
1018,SHIP CONSTRUCTION SINGLE STAGE,Mayo,"The Boreen, Crossmolina",3,*N/A,,,,,,Q4-2021
1019,SHIP CONSTRUCTION SINGLE STAGE,Mayo,"Deel Court, Crossmolina",3,*N/A,,,,,,Q4-2021
1020,SHIP CONSTRUCTION SINGLE STAGE,Mayo,"Knockroe, Moygownagh",3,*N/A,,,,,,Q4-2021
1021,SHIP CONSTRUCTION SINGLE STAGE,Mayo,"Low Park, Charlestown",3,*N/A,,,,,,Q4-2021
1022,SHIP CONSTRUCTION RENEWAL,Mayo,"Main St., Hollymount",1,N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1023,SHIP CONSTRUCTION DESIGN BUILD,Mayo,"Murrevagh, Mulranney",16,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
1024,SHIP CONSTRUCTION,Mayo,"Lios na Circa, Saleen, Castlebar - Phase 2",22,*N/A,,,,,Q1-2022,
1025,SHIP CONSTRUCTION,Mayo,Cross,8,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,
1026,SHIP CONSTRUCTION,Mayo,Bonniconlon,5,*N/A,,,,,,Q4-2021
1027,SHIP CONSTRUCTION,Mayo,"Cloonkeadagh Road, Kiltimagh",21,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
1028,SHIP CONSTRUCTION,Mayo,"Rehins Fort, Ballina",20,*N/A,,,,,Q3-2021,
1029,SHIP CONSTRUCTION,Mayo,"50 Units @ Golf Course Rd., Westport",50,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1030,SHIP CONSTRUCTION,Mayo,"Ballyglass, Carnacon, Claremorris",5,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
1031,SHIP CONSTRUCTION,Mayo,"Lios na Circe, Saleen, Castlebar - Phase 3",14,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
1032,SHIP CONSTRUCTION,Mayo,"Atlantic Drive ,Belmullet",4,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1033,SHIP CONSTRUCTION,Mayo,"Liskilleen, Ballinrobe,",1,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
1034,SHIP CONSTRUCTION,Mayo,"Walsh St., Ballina",9,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
1035,SHIP CONSTRUCTION,Mayo,"Main Street, Ballyvary",12,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
1036,SHIP CONSTRUCTION,Mayo,"Rehins Fort, Ballina",30,*N/A,,,,,Q3-2021,
1037,SHIP CONSTRUCTION,Mayo,AchilL Sound,20,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
1038,CAS CONSTRUCTION TURNKEY,Mayo,"Black Oak Rise, Newport",22,Túath Housing Association Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1039,CAS CONSTRUCTION RENEWAL,Mayo,"20 NewLine , Castlebar",2,Mayo Mental Health Association,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1040,CAS CONSTRUCTION,Mayo,"Kilbride, Swinford",4,Sophia Housing Association Ltd,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1041,CAS CONSTRUCTION,Mayo,"Mount St Mary's Convent, Westport",17,Túath Housing Association Ltd,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1042,CAS CONSTRUCTION,Mayo,"Ellison House, Ellison St., Castlebar",8,Peter McVerry Trust Ltd,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
1043,CALF Turnkey,Mayo,"Chestnut Grove, Castlebar, Co. Mayo (Phase 1)",4,Tuath Housing Association,,,,,Q3-2020,
1044,CALF Turnkey,Mayo,"Chestnut Grove, Castlebar, Co. Mayo (Phase 2)",4,Tuath Housing Association,,,,,Q3-2020,
1045,CALF Turnkey,Mayo,"Humbert Way, Castlebar, Co. Mayo (Phase 1)",20,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,
1046,CALF Turnkey,Mayo,"The Sycamores, Ballina (Phase 1)",11,Clúid Housing,,,,,,Q2-2021
1047,SHIP CONSTRUCTION TURNKEY,Meath,"The Brambles, Longford rd., Duleek",16,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
1048,SHIP CONSTRUCTION TURNKEY,Meath,"Connaught Street, Athboy",5,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
1049,SHIP CONSTRUCTION RENEWAL,Meath,"Carrick St., Kells",47,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
1050,SHIP CONSTRUCTION RENEWAL,Meath,"Broville, Corballis, Laytown",1,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
1051,SHIP CONSTRUCTION RENEWAL,Meath,"11 Glenidan Court, Enfield",1,*N/A,,,,,,Q1-2022
1052,SHIP CONSTRUCTION RENEWAL,Meath,"25 Carrick Street, Kells",1,*N/A,,,,"Stage 4 approved Q4-2019, the scheme is fully approved.",,
1053,SHIP CONSTRUCTION,Meath,"Staleen Park, Donore",21,*N/A,,,,,Q2-2021,
1054,SHIP CONSTRUCTION,Meath,Dunshaughlin,26,*N/A,,,,,,Q4-2021
1055,SHIP CONSTRUCTION,Meath,"Farganstown, Navan",84,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1056,SHIP CONSTRUCTION,Meath,"Blackhill Crescent, Donacarney",2,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1057,SHIP CONSTRUCTION,Meath,"Archdeaconary Glebe, Kells",22,*N/A,,"Stage 2 approved Q1-2020, full design/tender being prepared.",,,,
1058,SHIP CONSTRUCTION,Meath,"Nangle Court, Navan",15,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1059,SHIP CONSTRUCTION,Meath,"Castle Street, Ashbourne - Dept of Education Site",74,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1060,SHIP CONSTRUCTION,Meath,"Church View, Rathmolyon",22,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1061,SHIP CONSTRUCTION,Meath,"Haggard Street, Trim, Co. Meath",4,*N/A,"Stage 1 approved Q3-2019, outline design and costs being prepared.",,,,,
1062,SHIP CONSTRUCTION,Meath,"Pitcher Lane, Kells, Co. Meath",5,*N/A,"Stage 1 approved Q3-2019, outline design and costs being prepared.",,,,,
1063,SHIP CONSTRUCTION,Meath,"Swan Lane, Balreask",6,*N/A,"Stage 1 approved Q4-2019, outline design and costs being prepared.",,,,,
1064,SHIP CONSTRUCTION,Meath,"Lagore, Dunshaughlin",42,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1065,SHIP CONSTRUCTION,Meath,"Convent Lands, Kildalkey, Athboy",28,*N/A,,"Stage 2 approved Q1-2022, full design/tender being prepared.",,,,
1066,SHIP CONSTRUCTION,Meath,"Ratholdren Court, Navan",27,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
1067,SHIP CONSTRUCTION,Meath,"Brews Hill, Navan",12,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1068,SHIP CONSTRUCTION,Meath,"Newtown, Drumconrath",1,*N/A,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
1069,SHIP CONSTRUCTION,Meath,"New Lane, Abbey Lands, Navan, Co. Meath",4,*N/A,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
1070,CAS CONSTRUCTION TURNKEY,Meath,"Gainsfield, (Gort Fionnbarra) Commons Road, Navan Co. Meath",6,Túath Housing Association Ltd,,,,,,Q2-2021
1071,CAS CONSTRUCTION TURNKEY,Meath,"6-7 Knightsbrook Close, Iffernock, Trim",2,Túath Housing Association Ltd,,,,,,Q4-2021
1072,CAS CONSTRUCTION,Meath,"Women's Refuge, Tailteann Drive, Windtown, Navan",8,Meath Women’s Housing Association CLG,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
1073,CAS CONSTRUCTION,Meath,"Park Avenue, Church Street, Oldcastle",5,Society of Saint Vincent de Paul,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
1074,SHIP CONSTRUCTION TURNKEY,Meath,"Connaught Street, Athboy",2,*N/A,,,,,,Q2-2022
1075,CALF Turnkey,Meath,"Applewood Court, Beaufort Place, Navan, Co. Meath (Phase 1)*",21,Tuath Housing Association,,,,,Q3-2020,
1076,CALF Turnkey,Meath,"Ashewood, Ashbourne, Co Meath (Phase 1)",11,Clúid Housing,,,,,,Q4-2021
1077,CALF Turnkey,Meath,"Athboy Road, Navan, Co. Meath (Phase 1)*",34,Respond,,,,,Q1-2020,
1078,CALF Turnkey,Meath,"Athboy Road, Navan, Co. Meath (Phase 2)",18,Respond,,,,,Q1-2020,
1079,CALF Turnkey,Meath,"Athboy Road, Navan, Co. Meath (Phase 3)*",11,Respond,,,,,Q1-2020,
1080,CALF Turnkey,Meath,"Bryanstown Wood, Beamore Road, Drogheda, Co. Meath (Phase 1)*",24,Tuath Housing Association,,,,,Q1-2021,
1081,CALF Turnkey,Meath,"Bryanstown Wood, Beamore Road, Drogheda, Co. Meath (Phase 2)*",4,Tuath Housing Association,,,,,Q1-2021,
1082,CALF Turnkey,Meath,"Colliers Place, Abbey Road, Commons, Duleek, Co. Meath (Phase 1)*",17,North and East Housing Association CLG,,,,,,Q2-2022
1083,CALF Turnkey,Meath,"Colliers Place, Abbey Road, Commons, Duleek, Co. Meath (Phase 2)",5,North and East Housing Association CLG,,,,,Q1-2021,
1084,CALF Turnkey,Meath,"Frederick Manor, Ashbourne, Co. Meath (Phase 1)*",11,Clúid Housing,,,,,,Q1-2021
1085,CALF Turnkey,Meath,"Gainsfield, Commons Road, Navan, Co. Meath (Phase 3)",7,Tuath Housing Association,,,,,,Q1-2021
1086,CALF Turnkey,Meath,"Gainsfield, Commons Road, Navan, Co. Meath (Phase 4)",9,Tuath Housing Association,,,,,,Q2-2021
1087,CALF Turnkey,Meath,"Gort Fionnbarra (Gainsfield Phase 2), Commons Road, Navan, Co. Meath (Phase 1)",19,Tuath Housing Association,,,,,,Q4-2021
1088,CALF Turnkey,Meath,"Gort Fionnbarra (Gainsfield Phase 2), Commons Road, Navan, Co. Meath (Phase 2)",16,Tuath Housing Association,,,,,,Q2-2022
1089,CALF Turnkey,Meath,"Gort Fionnbarra (Gainsfield Phase 2), Commons Road, Navan, Co. Meath (Phase 3)",14,Tuath Housing Association,,,,,Q4-2020,
1090,CALF Turnkey,Meath,"Gort Fionnbarra, Commons Road, Navan, Co. Meath (Phase 1)",2,Tuath Housing Association,,,,,Q4-2021,
1091,CALF Turnkey,Meath,"Knightsbrook Close, Iffernock, Trim, Co. Meath (Phase 1)",5,Tuath Housing Association,,,,,,Q3-2021
1092,CALF Turnkey,Meath,"Knightsbrook Close, Iffernock, Trim, Co. Meath (Phase 2)",5,Tuath Housing Association,,,,,,Q3-2021
1093,CALF Turnkey,Meath,"Knightsbrook Close, Iffernock, Trim, Co. Meath (Phase 3)",6,Tuath Housing Association,,,,,,Q4-2021
1094,CALF Turnkey,Meath,"Knightsbrook Close, Phase 2, Iffernock, Trim, Co. Meath (Phase 1)",8,Tuath Housing Association,,,,,Q3-2021,
1095,CALF Turnkey,Meath,"Knightsbrook Close, Phase 2, Iffernock, Trim, Co. Meath (Phase 2)*",7,Tuath Housing Association,,,,,Q3-2021,
1096,CALF Turnkey,Meath,"Knightsbrook Close, Phase 2, Iffernock, Trim, Co. Meath (Phase 3)",7,Tuath Housing Association,,,,,Q3-2021,
1097,CALF Turnkey,Meath,"Maudlin Vale,  Trim, Co. Meath (Phase 1)",12,Tuath Housing Association,,,,,Q1-2022,
1098,CALF Turnkey,Meath,"Maudlin Vale,  Trim, Co. Meath (Phase 2)",14,Tuath Housing Association,,,,,Q1-2022,
1099,CALF Turnkey,Meath,"Maudlin Vale,  Trim, Co. Meath (Phase 3)",13,Tuath Housing Association,,,,,Q1-2022,
1100,CALF Turnkey,Meath,"Maydenhayes, Donacarney, Co. Meath (Phase 1)*",12,Clúid Housing,,,,,,Q3-2021
1101,CALF Turnkey,Meath,"Narrow Ways, Bettystown, Co. Meath (Phase 1)",6,Tuath Housing Association,,,,,,Q1-2022
1102,CALF Turnkey,Meath,"Narrow Ways, Bettystown, Co. Meath (Phase 2)",6,Tuath Housing Association,,,,,,Q1-2022
1103,CALF Turnkey,Meath,"Oak Hall, Ardee Road, Carlanstown, Co. Meath (Phase 1)",8,Tuath Housing Association,,,,,Q1-2022,
1104,CALF Turnkey,Meath,"Royal Oaks, Enfield, Co. Meath (Phase 2) (Phase 2)*",14,Clúid Housing,,,,,,Q2-2021
1105,CALF Turnkey,Meath,"Royal Oaks, Enfield, Co. Meath (Phase 2) (Phase 3)",16,Clúid Housing,,,,,,Q2-2022
1106,CALF Turnkey,Meath,"Ruxton Oaks, Navan, Co. Meath (Phase 1)*",20,Clúid Housing,,,,,,Q4-2021
1107,CALF Turnkey,Meath,"St Marys Dunboyne, Co. Meath (Phase 1)",16,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021
1108,CALF Turnkey,Meath,"The Maudlins, Trim, Co. Meath (Phase 1)",9,Clúid Housing,,,,,,Q1-2021
1109,CALF Turnkey,Meath,"The Willows, Dunshaughlin, Co. Meath (Phase 1)*",96,Clúid Housing,,,,,Q2-2021,
1110,CALF Turnkey,Meath,"Whitefield Hall, Bettystown, Co. Meath (Phase 3)",2,Tuath Housing Association,,,,,,Q3-2021
1111,SHIP CONSTRUCTION,Monaghan,"Lui na Greine, Scotstown",12,*N/A,,,,,,Q2-2022
1112,SHIP CONSTRUCTION,Monaghan,"Lui na Greine, Scotstown",1,*N/A,,,,,,Q2-2022
1113,SHIP CONSTRUCTION RENEWAL,Monaghan,"An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,*N/A,,,,,,Q2-2022
1114,SHIP CONSTRUCTION RENEWAL,Monaghan,"63 Fermanagh St., Clones",3,*N/A,,,,,,Q2-2022
1115,SHIP CONSTRUCTION TURNKEY,Monaghan,"Ard na Radhairc, Carrickmacross",6,*N/A,,,,,,Q4-2021
1116,SHIP CONSTRUCTION TURNKEY,Monaghan,"Coill Darach, Bree, Castleblayney",30,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
1117,SHIP CONSTRUCTION TURNKEY,Monaghan,"Coill an Ri, Carrickmacross",30,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1118,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockcarrick, Annyalla",30,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1119,SHIP CONSTRUCTION TURNKEY,Monaghan,"Ard na Radhairc, Carrickmacross",35,*N/A,,,,,Q3-2019,
1120,SHIP CONSTRUCTION SINGLE STAGE,Monaghan,"Folly Court, Ballybay",6,*N/A,,,,,,Q4-2021
1121,SHIP CONSTRUCTION RENEWAL,Monaghan,"82 & 83 Fermanagh St., Clones",3,*N/A,,,,,Q3-2019,
1122,SHIP CONSTRUCTION RENEWAL,Monaghan,"2a & 3 Analore St., Clones",2,*N/A,,,,,Q3-2019,
1123,SHIP CONSTRUCTION RENEWAL,Monaghan,"Abbey Gatehouse, Analore St., Clones",4,*N/A,,,,,Q3-2019,
1124,SHIP CONSTRUCTION,Monaghan,"Lui Na Greine, Scotstown",6,*N/A,,,,,,Q4-2021
1125,SHIP CONSTRUCTION,Monaghan,"12 Church St., Ballybay",2,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1126,SHIP CONSTRUCTION,Monaghan,"Church Hill, Clones",2,*N/A,,,,,Q2-2021,
1127,SHIP CONSTRUCTION,Monaghan,"13 McCurtain Street, Clones",1,*N/A,,,,,Q1-2021,
1128,SHIP CONSTRUCTION,Monaghan,"An Clós, Cornamucklaglass, Ballybay ",7,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1129,SHIP CONSTRUCTION,Monaghan,"Lui na Greine, Scotstown",13,*N/A,,,,,Q2-2020,
1130,CAS CONSTRUCTION,Monaghan,"Drumillard, Castleblayney (Phase 2)",2,Castleblayney Care Housing Association Ltd,,,,,Q1-2021,
1131,CAS CONSTRUCTION,Monaghan,"Liseggerton, Clones",19,Oaklee Housing Trust,,,,,,Q2-2021
1132,CAS CONSTRUCTION,Monaghan,"Birch Court Apts., 34 Main Street, Ballybay",4,North ? East Housing Association Ltd,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1133,CALF Turnkey,Monaghan,"Bree, Castleblayney 
 (Phase 2)",6,Tuath Housing Association,,,,,,Q2-2021
1134,CALF Turnkey,Monaghan,"Bree, Castleblayney 
 (Phase 3)",8,Tuath Housing Association,,,,,,Q3-2021
1135,CALF Turnkey,Monaghan,"Bree, Castleblayney 
 (Phase 4)",8,Tuath Housing Association,,,,,,Q2-2022
1136,CALF Turnkey,Monaghan,"Bree, Castleblayney 
 (Phase 5)",3,Tuath Housing Association,,,,,,Q2-2022
1137,CALF Turnkey,Monaghan,"Bree, Castleblayney 
 (Phase 6)",2,Tuath Housing Association,,,,,Q2-2019,
1138,CALF Turnkey,Monaghan,"Drumbear Wood, Monaghan, Co. Monaghan  (Phase 1)*",17,Co - Operative Housing Ireland Society Limited,,,,,Q1-2022,
1139,CALF Turnkey,Monaghan,"Lakeview Apartments, Drummond Radhairc, Carrickmacross, Co Monaghan (Phase 1)*",12,North and East Housing Association CLG,,,,,,Q2-2022
1140,CALF Turnkey,Monaghan,"Macartan View,  Latlorcan, Dublin Road, Monaghan (Phase 1)*",20,Tuath Housing Association,,,,Q2-2021,,
1141,CALF Turnkey,Monaghan,"Macartan View,  Latlorcan, Dublin Road, Monaghan (Phase 2)*",21,Tuath Housing Association,,,,Q2-2021,,
1142,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,Tuath Housing Association,,,,,,Q2-2021
1143,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 2)",6,Tuath Housing Association,,,,,Q3-2019,
1144,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 3)",6,Tuath Housing Association,,,,,Q3-2019,
1145,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 4)",14,Tuath Housing Association,,,,,Q3-2019,
1146,CALF Turnkey,Monaghan,"Part 2, Radharc An Bhri, Bree, Castleblayney, Co. Monaghan (Phase 1)*",2,Tuath Housing Association,,,,,,Q2-2022
1147,CALF Turnkey,Monaghan,"Part 2, Radharc An Bhri, Bree, Castleblayney, Co. Monaghan (Phase 2)",8,Tuath Housing Association,,,,,Q4-2021,
1148,CALF Turnkey,Monaghan,"Railway View, Kilnacloy, Monaghan, Co. Monaghan (Phase 1)",8,Tuath Housing Association,,,,,Q3-2020,
1149,CALF Turnkey,Monaghan,"Railway View, Kilnacloy, Monaghan, Co. Monaghan (Phase 2)*",8,Tuath Housing Association,,,,,Q3-2020,
1150,CALF Turnkey,Monaghan,"The Meadows, Emy, Emyvale, Co. Monaghan (Phase 1)*",14,Tuath Housing Association,,,,,Q2-2021,
1151,SHIP CONSTRUCTION TURNKEY,Offaly,"Main Street, Daingean",8,*N/A,,,,,,Q4-2021
1152,SHIP CONSTRUCTION TURNKEY,Offaly,"Woodfield, Birr",5,*N/A,,,,,,Q4-2021
1153,SHIP CONSTRUCTION TURNKEY,Offaly,"Cluain na Greine, Clonygowan",2,*N/A,,,,,,Q2-2021
1154,SHIP CONSTRUCTION TURNKEY,Offaly,"Coolgarry, Walsh Island ",4,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,
1155,SHIP CONSTRUCTION TURNKEY,Offaly,"MacRegol Pairc, Birr",2,*N/A,,,,,,Q1-2021
1156,SHIP CONSTRUCTION TURNKEY,Offaly,"Bog Road, Portarlington",28,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,
1157,SHIP CONSTRUCTION TURNKEY,Offaly,"MacRegol Pairc, Birr",4,*N/A,,,,,,Q2-2021
1158,SHIP CONSTRUCTION TURNKEY,Offaly,"Castle View, Mucklagh, Tullamore",8,*N/A,,,,,,Q2-2022
1159,SHIP CONSTRUCTION TURNKEY,Offaly,"Woodfield, Birr",5,*N/A,,,,,,Q1-2022
1160,SHIP CONSTRUCTION TURNKEY,Offaly,"Woodfield, Birr",19,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,
1161,SHIP CONSTRUCTION RENEWAL,Offaly,"1 Newbridge St., Birr",1,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1162,SHIP CONSTRUCTION RENEWAL,Offaly,"78 & 110 Church Hill, Tullamore",2,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1163,SHIP CONSTRUCTION,Offaly,"Beechwood Drive, Circular Road, Daingean",9,*N/A,,,"Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.",,,
1164,SHIP CONSTRUCTION,Offaly,"Kylebeg, Banagher (Phase 2)",18,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1165,SHIP CONSTRUCTION,Offaly,"Beechgrove, Belmont",7,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1166,SHIP CONSTRUCTION,Offaly,"Raheen ,Clara",38,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
